"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"755","@konopamike Quality and reliability are at the core of who we are. DM us for our $650 switcher offer*KGG https://t.co/RWxolnhVh4",FALSE,0,"konopamike",2017-06-26 12:00:00,FALSE,"878248241158139904","879308259647160320","214741113","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"756","@jacob_cassel 
No one should struggle with their wireless carrier.  DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,1,"jacob_cassel",2017-06-26 11:56:52,FALSE,"878644649858093056","879307471269056512","2246594287","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"757","@xSkbc Stuck on the wrong network? You deserve reliable service on the better network. DM us for our $650 switcher… https://t.co/AxhHfGX4Iz",FALSE,0,"xSkbc",2017-06-26 11:55:25,TRUE,"878639062827053058","879307107841048576","69137052","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"758","@fubang22 You deserve service that's both reliable and enjoyable. DM us for our $650 switcher offer. *KGG https://t.co/RWxolnhVh4",FALSE,0,"fubang22",2017-06-26 11:49:52,FALSE,"878641391378845697","879305707371286528","2541796139","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"759","@oiseaurebelle__ Let us take the complication out of switching. Ask about our credit offers.   DM us to get started… https://t.co/GbjObLd8vY",FALSE,1,"oiseaurebelle__",2017-06-26 11:34:26,TRUE,"878616791752298496","879301823995236353","39122715","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"760","@ArepasHouse Let us take the complication out of switching. Ask about our credit offers.   DM us to get started. *R… https://t.co/XErxahrZMX",FALSE,0,"ArepasHouse",2017-06-26 11:33:26,TRUE,NA,"879301572693512193","4446462853","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"761","@_zairayvonne Thank you for considering Verizon Wireless, please feel free to contact me if you have any further qu… https://t.co/ALS291QXrC",FALSE,0,"_zairayvonne",2017-06-26 11:23:27,TRUE,"878603870678732801","879299060854915073","2408400666","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"762","@Italianclownz Thank you for considering Verizon Wireless, please feel free to contact me if you have any further q… https://t.co/ZIHdhyHYXj",FALSE,0,"Italianclownz",2017-06-26 11:23:00,TRUE,"878601676470530048","879298948162363392","2701551996","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"763","@RiledupRileyy Let us introduce you to better. DM us for our $650 switcher offer. *KGG https://t.co/RWxolnhVh4",FALSE,1,"RiledupRileyy",2017-06-26 11:21:00,FALSE,NA,"879298445261058049","1861174812","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"764","@MSELIMAS95 Stuck on the wrong network? You deserve reliable service on the better network. DM us for our $650 swit… https://t.co/HQqF8oRaTB",FALSE,0,"MSELIMAS95",2017-06-26 11:19:54,TRUE,NA,"879298168927789056","343819339","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"765","@Jacobo1996 New phones, powerful network, and now unlimited data! Send us a DM for our $650 switcher offer. *KGG https://t.co/RWxolnhVh4",FALSE,0,"Jacobo1996",2017-06-26 11:17:56,FALSE,"878624746665115648","879297674293522433","1097074466","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"766","@RealEstatDoctor Let us introduce you to better. DM us for our $650 switcher offer. *KGG https://t.co/RWxolnhVh4",FALSE,0,"RealEstatDoctor",2017-06-26 11:16:27,FALSE,"878621869146079232","879297300169936896","15988047","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"767","@PWIC Have you checked out our new plans? You might be surprised. DM us for a personalized quote. *KGG https://t.co/RWxolnhVh4",FALSE,1,"PWIC",2017-06-26 11:15:27,FALSE,"878622327549734913","879297047182102528","44547956","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"768","@magsg We'd like to better your wireless experience. DM us for our $650 switcher offer. *KGG https://t.co/RWxolnhVh4",FALSE,0,"magsg",2017-06-26 11:14:00,FALSE,"878620961595166726","879296683057827840","7777322","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"769","@Deadpoolverine It sounds as if it maybe time to switch to better.  Send us a DM to learn about switching and what… https://t.co/E50yCJldb6",FALSE,0,"Deadpoolverine",2017-06-26 11:09:55,TRUE,"878602211239919616","879295656644542465","4810178772","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"770","@oliviabr00ke1 Maybe it's time for a fresh start on a better network. DM us &amp; we'll cover your cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"oliviabr00ke1",2017-06-26 11:09:28,FALSE,"878597306018353152","879295540638478336","76797834","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"771","@PunkieDancester No one should struggle with their wireless carrier.  DM us and we will cover the cost to switch. *… https://t.co/chf2Wnb12p",FALSE,0,"PunkieDancester",2017-06-26 11:05:00,TRUE,"878360591890497537","879294417873641472","164935438","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"772","@LipsOfAVirgin  Why continue the struggle?Unlimited data on the better network is here for you. DM us &amp; we'll cover… https://t.co/EsRajFuADf",FALSE,0,"LipsOfAVirgin",2017-06-26 11:04:28,TRUE,"878395136497127424","879294284285054976","221531715","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"773","@vamarine22 You can print out the necessary labels by clicking the link below. 
https://t.co/hvvPt7ieCo
^BAB",FALSE,0,"vamarine22",2017-06-25 20:06:00,FALSE,"879067237604306944","879068178139283456","431912559","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"774","@sonicmayhem  Why not make the switch to the better network? Send a DM for options to help you switch. *AAS https://t.co/beoZ4EzoE3",FALSE,0,"sonicmayhem",2017-06-25 19:37:00,FALSE,"878570295002529792","879060881010720770","20480772","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"775","@KirbyLovesPizza  You shouldn't have to struggle with your wireless network. DM for switcher options. *AAS https://t.co/VpFF7p07a8",FALSE,0,"KirbyLovesPizza",2017-06-25 19:35:56,FALSE,"878579463151210498","879060612835418112","846084704251998208","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"776","@B_Stewart123 Make the switch to a better wireless experience. DM for details. *AAS https://t.co/8zYBkpQ5fs",FALSE,0,"B_Stewart123",2017-06-25 19:35:56,FALSE,"878576537347522565","879060612676034561","319965242","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"777","@Gutta_DaDon @Sole_Woman Have you checked out our new plans? You might be surprised. DM us for a personalized quote… https://t.co/9bObGCbnKE",FALSE,0,"Gutta_DaDon",2017-06-25 19:35:00,TRUE,"878581649541353472","879060376620593152","401286522","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"778","@cocoBonita_Love Why settle for an average experience when better is here? DM to discuss switcher options. *AAS https://t.co/jVmQY1KfZl",FALSE,0,"cocoBonita_Love",2017-06-25 19:34:28,FALSE,"878584362652102656","879060241744318468","228143032","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"779","@MrsSpoonhour13  Let's get you into a device and network you enjoy. Send a DM to get started. *AAS https://t.co/JH9wIcxvOx",FALSE,0,"MrsSpoonhour13",2017-06-25 19:33:49,FALSE,"878585161339867136","879060077512097792","871198328310071297","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"780","@3tmsn_  Maybe it's time for a fresh start on a better network? DM to get up to $650 for switching. *AAS https://t.co/oZCVXFVsH2",FALSE,0,"3tmsn_",2017-06-25 19:32:00,FALSE,"878531567060226048","879059621603942400","1263040236","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"781","@dalydose You deserve a better wireless experience. DM for options and we'll help you get started. *AAS https://t.co/H7K9ROXHT7",FALSE,0,"dalydose",2017-06-25 19:30:00,FALSE,"878530022679527424","879059119105343488","12834332","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"782","@GetYouAKim Want a network that gets you where you're trying to go? Send us a DM for info on switcher offers! *AAS https://t.co/3Z5iwvgtaZ",FALSE,0,"GetYouAKim",2017-06-25 19:18:25,FALSE,"878524854101782528","879056201459408896","410274934","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"783","@_forevertamia  Get the wireless experience you deserve. Send a DM to get started. *AAS https://t.co/oFe6vbl9Wt",FALSE,0,"_forevertamia",2017-06-25 19:17:56,FALSE,NA,"879056079992365056","1515275442","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"784","@_JERRICAAAA We can help you with exploring your wireless options. DM to get started. *AAS https://t.co/AJNX5SMETz",FALSE,0,"_JERRICAAAA",2017-06-25 19:17:25,FALSE,"878519581438070785","879055952720388096","57089045","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"785","@Arlexitus1 You deserve the best network. Send a DM to talk about our switcher promo. *AAS https://t.co/fKcrvSBwaS",FALSE,1,"Arlexitus1",2017-06-25 19:17:00,FALSE,"878512451012227072","879055847556603904","796647795939835904","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"786","@B3N_Marin A more simple wireless experience is waiting on the better network. Send a DM to talk options. *AAS https://t.co/QyILY6XxjD",FALSE,0,"B3N_Marin",2017-06-25 19:16:32,FALSE,NA,"879055727117172738","875447894513295360","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"787","@PinaVioleta No need to continue the struggle. DM for options &amp; we'll help cover your cost to switch. *AAS https://t.co/xQROOqrHyx",FALSE,1,"PinaVioleta",2017-06-25 19:16:32,FALSE,"878505555849072641","879055726961930241","624460042","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",1,FALSE,FALSE,NA,NA
